FirstName,LastName,Gender,DateOfBirth,PhoneNumber,BirthPlace,IsGraduated
Reeba,Rushby,1,1990/06/23,560-922-7216,01885 West Place,true
Consuela,Dudman,2,1991/04/28,594-170-6989,1842 Mcbride Drive,true
Rosabella,Waddicor,2,1998/04/24,350-189-1771,7183 Stephen Street,false
Harvey,Maving,2,2000/11/24,292-637-3948,434 Ridgeway Court,true
Gennie,Zahor,1,1992/04/07,454-461-5174,288 Susan Point,true
Minetta,Gauld,1,1999/06/26,330-473-6490,19 Petterle Hill,true
Agnesse,Brummell,2,1993/08/31,532-810-1685,284 Burrows Place,false
Alphonso,Parncutt,1,1991/06/02,609-415-8516,4256 Sunbrook Lane,true
Earle,Farloe,2,1993/05/31,878-266-1150,461 Sundown Court,false
Catherina,Swash,2,1991/04/29,816-995-8498,70628 Ohio Drive,false
Gardie,Bigglestone,1,2000/03/30,399-892-8577,57 Londonderry Drive,true
Candie,Copyn,2,1999/01/05,443-487-2737,6 Laurel Lane,false
Audry,Di Meo,1,1995/03/09,429-340-8255,8276 Vahlen Street,true
Torre,Hounsham,2,1992/02/28,945-192-6109,2468 Scoville Center,false
Gale,Stranio,2,1998/04/12,860-863-4262,3229 Arkansas Drive,false
Had,Gadie,1,1993/07/03,787-817-4160,62218 Jana Parkway,false
Moyna,Caen,2,1999/09/05,834-167-8820,718 Aberg Hill,false
Katrina,Dutton,1,1999/03/25,650-723-3338,26333 Pepper Wood Road,true
Elvin,Brik,2,1998/11/28,567-478-2834,342 Wayridge Parkway,true
Ahmad,Domokos,1,1994/05/12,141-339-3364,520 Hanover Park,true
Morrie,Deighton,2,1993/03/11,683-679-0721,0930 Orin Point,false
Patrick,Yackiminie,2,1991/08/05,319-200-3696,78 Ohio Parkway,false
Charil,Fitzsimon,2,1995/08/06,179-717-2467,1084 Acker Place,true
Nataniel,Syer,2,1998/11/20,658-696-3790,8 Pawling Hill,true
Oran,Slaney,1,1996/01/13,898-699-1019,895 Dryden Road,true
Rustie,Ipgrave,1,1996/10/23,407-850-0705,70 Graceland Parkway,false
Clarice,Gluyas,1,1993/03/28,902-387-9196,24 Golf View Lane,false
Wally,Cole,2,1995/09/16,530-532-7301,72056 Schurz Terrace,false
Augustine,Dumbrell,2,1996/07/15,152-651-0584,61045 Schmedeman Way,false
Rodrigo,Crottagh,1,1990/10/16,268-589-3485,3345 Homewood Point,true
Clemens,Cardozo,1,1999/04/04,103-820-2530,13545 Birchwood Trail,false
Dawn,Hubeaux,1,1992/12/24,285-368-1359,51541 Montana Parkway,false
